name,datetime,tempmax,tempmin,temp,feelslikemax,feelslikemin,feelslike,dew,humidity,precip,precipprob,precipcover,preciptype,snow,snowdepth,windgust,windspeed,winddir,sealevelpressure,cloudcover,visibility,solarradiation,solarenergy,uvindex,severerisk,sunrise,sunset,moonphase,conditions,description,icon,stations
kaduwela,2012-10-07,31.4,25.1,28.6,37.7,25.1,32.5,24.1,77.3,0.385,100,8.33,rain,,,,16.6,240.9,1010.8,65.4,12.7,252.3,21.8,9,,2012-10-07T05:57:11,2012-10-07T17:58:23,0.73,"Rain, Partially cloudy",Partly cloudy throughout the day with afternoon rain.,rain,"43450099999,43467099999,43486099999,43441099999,43466099999,remote"
kaduwela,2012-10-08,32.1,25.1,28.6,38.4,25.1,32.3,24.3,78,0.01,100,4.17,rain,,,,22.3,224.7,1009.5,58.4,12.9,212.1,18.3,7,,2012-10-08T05:57:05,2012-10-08T17:57:55,0.75,"Rain, Partially cloudy",Partly cloudy throughout the day with late afternoon rain.,rain,"43450099999,43467099999,43486099999,43441099999,43466099999,remote"
kaduwela,2012-10-09,31,24.1,27.5,37.8,24.1,30.8,24.3,82.9,15.4,100,25,rain,,,,16.6,211.8,1008.4,77.5,12.6,178,15.4,7,,2012-10-09T05:56:59,2012-10-09T17:57:27,0.8,"Rain, Partially cloudy",Partly cloudy throughout the day with a chance of rain throughout the day.,rain,"43450099999,43467099999,43486099999,43441099999,43466099999,remote"
kaduwela,2012-10-10,31.1,24.1,27.4,37.9,24.1,29.9,23.6,80.6,27.714,100,20.83,rain,,,,18.4,204.9,1008.7,65.3,12.5,197.1,17.1,7,,2012-10-10T05:56:54,2012-10-10T17:57:00,0.83,"Rain, Partially cloudy",Partly cloudy throughout the day with a chance of rain throughout the day.,rain,"43450099999,43467099999,43486099999,43441099999,43466099999,remote"
kaduwela,2012-10-11,31.5,25.1,28.5,36.7,25.1,31.8,23.4,74.8,0.438,100,12.5,rain,,,,16.6,224,1009,52.4,12.8,252.4,21.8,9,,2012-10-11T05:56:49,2012-10-11T17:56:33,0.86,"Rain, Partially cloudy",Partly cloudy throughout the day with rain clearing later.,rain,"43450099999,43467099999,43486099999,43441099999,43466099999,remote"
kaduwela,2012-10-12,31.1,25.1,27.9,37.7,25.1,30.5,24.1,80.6,0.381,100,16.67,rain,,,,22.3,198.2,1009.6,55,13,279.5,24,10,,2012-10-12T05:56:45,2012-10-12T17:56:07,0.89,"Rain, Partially cloudy",Partly cloudy throughout the day with rain.,rain,"43450099999,43467099999,43486099999,43441099999,remote,43466099999"
kaduwela,2012-10-13,31.6,24.1,27.5,37.4,24.1,30.1,23.9,81.4,1.054,100,16.67,rain,,,,31.3,184.7,1009.8,45.1,12.6,223.4,19.3,8,,2012-10-13T05:56:41,2012-10-13T17:55:41,0.93,"Rain, Partially cloudy",Partly cloudy throughout the day with rain in the morning and afternoon.,rain,"43450099999,43467099999,43486099999,43441099999,43466099999,remote"
kaduwela,2012-10-14,33.1,24.1,27,37.9,24.1,28.5,23.2,81.2,1.855,100,20.83,rain,,,,25.9,148.2,1010.8,68.1,12.5,124.4,10.7,4,,2012-10-14T05:56:38,2012-10-14T17:55:16,0.96,"Rain, Partially cloudy",Partly cloudy throughout the day with a chance of rain throughout the day.,rain,"43450099999,43467099999,43486099999,43441099999,43466099999,remote"
kaduwela,2012-10-15,31.1,24.1,26,34.9,24.1,27.1,23.1,84.9,16.347,100,20.83,rain,,,,29.5,195.5,1012.6,76,11.9,118.1,10.1,4,,2012-10-15T05:56:35,2012-10-15T17:54:52,0,"Rain, Partially cloudy",Partly cloudy throughout the day with a chance of rain throughout the day.,rain,"43450099999,43467099999,43486099999,43441099999,43466099999,remote"
kaduwela,2012-10-16,30.1,23.1,26.6,34.5,23.1,28.4,23.2,82.6,3.409,100,12.5,rain,,,,13.7,195.1,1012.7,76.9,12.8,115,9.8,4,,2012-10-16T05:56:33,2012-10-16T17:54:28,0.03,"Rain, Partially cloudy",Partly cloudy throughout the day with rain.,rain,"43450099999,43467099999,43486099999,43441099999,43466099999,remote"
kaduwela,2012-10-17,29.4,24.1,25.8,34.1,24.1,26.8,23.6,87.8,8.157,100,25,rain,,,,22.3,293.6,1011.4,84.8,11.7,185.1,16,7,,2012-10-17T05:56:31,2012-10-17T17:54:05,0.06,"Rain, Partially cloudy",Partly cloudy throughout the day with a chance of rain throughout the day.,rain,"43450099999,43467099999,43486099999,43441099999,remote,43466099999"
kaduwela,2012-10-18,31.1,23.7,26.3,36.7,23.7,27.9,23.3,84.3,31.956,100,16.67,rain,,,,22.3,18.9,1009.6,84.9,11.8,148,12.7,5,,2012-10-18T05:56:30,2012-10-18T17:53:42,0.1,"Rain, Partially cloudy",Partly cloudy throughout the day with rain.,rain,"43450099999,43467099999,43486099999,43441099999,43466099999,remote"
kaduwela,2012-10-19,29.9,23.5,26.3,34.7,23.5,28.1,23.4,84.5,6.854,100,8.33,rain,,,,13,243.6,1009,71.4,13,167.9,14.4,6,,2012-10-19T05:56:30,2012-10-19T17:53:21,0.13,"Rain, Partially cloudy",Partly cloudy throughout the day with rain.,rain,"43450099999,43467099999,43486099999,43441099999,43466099999,remote"
