                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                    109,                0.68872,                0.37899,                 1.1003,                 0.9988,                      1,                  0.995,                0.86967,                0.58903,                0.30719,                 1.1022,             0.00078407,             0.00078407,             0.00078407
                    110,                0.67702,                0.37555,                 1.0945,                0.99915,                      1,                  0.995,                0.87301,                0.56707,                0.30035,                 1.0796,             0.00077582,             0.00077582,             0.00077582
                    111,                0.65004,                0.35909,                 1.0681,                0.99923,                      1,                  0.995,                0.87464,                0.56065,                0.30063,                 1.0806,             0.00076757,             0.00076757,             0.00076757
                    112,                  0.661,                  0.364,                 1.0795,                0.99852,                      1,                  0.995,                0.87814,                0.56466,                   0.29,                 1.0797,             0.00075932,             0.00075932,             0.00075932
                    113,                0.66978,                0.37592,                 1.1016,                0.99926,                      1,                  0.995,                0.87674,                0.55979,                0.28922,                 1.0787,             0.00075107,             0.00075107,             0.00075107
                    114,                0.66469,                0.36196,                 1.0967,                0.99944,                      1,                  0.995,                0.86184,                0.61418,                0.29471,                 1.1182,             0.00074282,             0.00074282,             0.00074282
                    115,                0.66885,                0.36818,                 1.0767,                0.99878,                      1,                  0.995,                0.88503,                0.56448,                0.29869,                 1.0734,             0.00073456,             0.00073456,             0.00073456
                    116,                0.67303,                0.37428,                 1.0838,                0.99916,                      1,                  0.995,                0.86518,                0.57524,                0.30152,                 1.0889,             0.00072631,             0.00072631,             0.00072631
                    117,                0.67965,                0.35651,                 1.0771,                0.99919,                      1,                  0.995,                0.86024,                0.59098,                0.29728,                 1.0963,             0.00071806,             0.00071806,             0.00071806
                    118,                 0.6842,                0.36595,                 1.0954,                0.99893,                      1,                  0.995,                0.87072,                0.56666,                0.29345,                 1.0787,             0.00070981,             0.00070981,             0.00070981
                    119,                0.66382,                0.35847,                 1.0792,                0.99896,                      1,                  0.995,                 0.8679,                0.57433,                0.29359,                 1.0897,             0.00070156,             0.00070156,             0.00070156
                    120,                0.67265,                0.36868,                 1.1054,                0.99932,                      1,                  0.995,                0.88439,                0.55015,                0.29212,                  1.068,             0.00069331,             0.00069331,             0.00069331
                    121,                 0.6865,                0.37022,                 1.0997,                0.99913,                      1,                  0.995,                0.87861,                0.54878,                0.29306,                 1.0651,             0.00068505,             0.00068505,             0.00068505
                    122,                0.66196,                0.36991,                 1.0831,                0.99916,                      1,                  0.995,                0.88254,                0.54629,                0.29029,                 1.0606,              0.0006768,              0.0006768,              0.0006768
                    123,                 0.6426,                0.34838,                 1.0721,                0.99885,                      1,                  0.995,                0.87793,                0.55831,                0.29015,                 1.0749,             0.00066855,             0.00066855,             0.00066855
                    124,                0.66046,                0.35361,                 1.0842,                0.99911,                      1,                  0.995,                0.88108,                0.55678,                0.29234,                 1.0694,              0.0006603,              0.0006603,              0.0006603
                    125,                0.66162,                0.36026,                  1.093,                0.99944,                      1,                  0.995,                0.87604,                 0.5647,                0.29561,                 1.0763,             0.00065205,             0.00065205,             0.00065205
                    126,                 0.6843,                0.36781,                 1.0935,                0.99933,                      1,                  0.995,                 0.8871,                0.55184,                0.28664,                 1.0651,              0.0006438,              0.0006438,              0.0006438
                    127,                0.67484,                0.35319,                 1.1069,                0.99926,                      1,                  0.995,                0.88126,                0.54493,                0.28049,                 1.0629,             0.00063554,             0.00063554,             0.00063554
                    128,                0.62385,                0.33338,                 1.0678,                0.99936,                      1,                  0.995,                0.87599,                0.55206,                 0.2796,                 1.0647,             0.00062729,             0.00062729,             0.00062729
                    129,                0.63587,                0.34257,                 1.0793,                0.99941,                      1,                  0.995,                0.88261,                0.54294,                0.27665,                 1.0595,             0.00061904,             0.00061904,             0.00061904
                    130,                0.64512,                0.34641,                  1.081,                 0.9992,                      1,                  0.995,                0.87901,                0.54826,                0.28626,                  1.071,             0.00061079,             0.00061079,             0.00061079
                    131,                0.65785,                0.35177,                 1.0717,                 0.9993,                      1,                  0.995,                0.87978,                0.56375,                0.29046,                 1.0752,             0.00060254,             0.00060254,             0.00060254
                    132,                0.64877,                0.34671,                 1.0735,                0.99914,                      1,                  0.995,                0.87763,                0.55319,                0.28713,                 1.0646,             0.00059429,             0.00059429,             0.00059429
                    133,                0.65176,                0.34358,                  1.062,                0.99893,                      1,                  0.995,                0.87526,                0.56393,                0.28327,                 1.0661,             0.00058603,             0.00058603,             0.00058603
                    134,                0.64284,                0.35265,                 1.0645,                0.99907,                      1,                  0.995,                0.87591,                0.54941,                0.27826,                 1.0663,             0.00057778,             0.00057778,             0.00057778
                    135,                0.61542,                0.33883,                 1.0584,                0.99965,                      1,                  0.995,                0.87761,                0.54371,                0.27612,                 1.0626,             0.00056953,             0.00056953,             0.00056953
                    136,                0.62487,                0.32956,                  1.062,                0.99923,                      1,                  0.995,                 0.8794,                0.53699,                0.27989,                 1.0494,             0.00056128,             0.00056128,             0.00056128
                    137,                0.64399,                0.35081,                 1.0665,                0.99866,                      1,                  0.995,                0.87909,                0.57352,                  0.291,                 1.0806,             0.00055303,             0.00055303,             0.00055303
                    138,                0.65271,                 0.3502,                 1.0731,                0.99915,                      1,                  0.995,                0.87922,                 0.5401,                0.27675,                 1.0521,             0.00054478,             0.00054478,             0.00054478
